2022-04-28 19:43:39,288 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Jean Atalaya\Desktop\Sistemas Distribuidos\PC03\apache-activemq-5.17.0-bin (1)\apache-activemq-5.17.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-04-28 19:43:39,899 | INFO  | PListStore:[C:\Users\Jean Atalaya\Desktop\Sistemas Distribuidos\PC03\apache-activemq-5.17.0-bin (1)\apache-activemq-5.17.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-04-28 19:43:40,260 | INFO  | Apache ActiveMQ 5.17.0 (localhost, ID:DESKTOP-IUBU5VJ-53563-1651193019928-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-04-28 19:43:40,347 | INFO  | Listening for connections at: tcp://DESKTOP-IUBU5VJ:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-04-28 19:43:40,349 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-04-28 19:43:40,357 | INFO  | Listening for connections at: amqp://DESKTOP-IUBU5VJ:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-04-28 19:43:40,357 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-04-28 19:43:40,365 | INFO  | Listening for connections at: stomp://DESKTOP-IUBU5VJ:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-04-28 19:43:40,366 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-04-28 19:43:40,375 | INFO  | Listening for connections at: mqtt://DESKTOP-IUBU5VJ:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-04-28 19:43:40,375 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
